Fri Mar 11 14:01:03 +0000 2011	lestranged	I just sliced 105 fruits, including 11 juicy kiwifruits on Fruit Ninja for iPhone! http://www.fruitninja.com http://bit.ly/en1Re6
Fri Mar 11 14:01:24 +0000 2011	IMRI_	I just scored 661 points in Fruit Ninja HD's Arcade Mode, with help from 2 Freeze Bananas! http://www.fruitninja.com http://bit.ly/g8kRKR
Fri Mar 11 14:02:00 +0000 2011	xSecondStar	I scored 211 points in Fruit Ninja's Zen Mode on iPhone, with a lush 5 fruit combo! http://www.fruitninja.com http://bit.ly/eyo4FB
Fri Mar 11 14:03:43 +0000 2011	xSecondStar	I scored 228 points in Fruit Ninja's Zen Mode on iPhone, with a juicy 5 fruit combo! http://www.fruitninja.com http://bit.ly/eyo4FB
Fri Mar 11 14:05:11 +0000 2011	henryswatts	I scored 695 points in Fruit Ninja's Arcade Mode on iPhone! Needs to practice those combos! http://www.fruitninja.com http://bit.ly/hbWF9y
Fri Mar 11 14:06:12 +0000 2011	MrKuRiZMa	I just scored 456 points in Fruit Ninja's Arcade Mode, with help from 2 Frenzy Bananas! http://www.fruitninja.com http://bit.ly/ey4f3g
Fri Mar 11 14:07:50 +0000 2011	xSecondStar	I scored 217 points in Fruit Ninja's Zen Mode on iPhone, with a succulent 6 fruit combo! http://www.fruitninja.com http://bit.ly/eyo4FB
Fri Mar 11 14:30:29 +0000 2011	xSecondStar	I just sliced 256 fruits, including 18 delicious pineapples on Fruit Ninja for iPhone! http://www.fruitninja.com http://bit.ly/eyo4FB
Fri Mar 11 14:34:53 +0000 2011	xSecondStar	I just sliced 358 fruits, including 24 juicy pears on Fruit Ninja for iPhone! http://www.fruitninja.com http://bit.ly/eyo4FB
Fri Mar 11 14:37:06 +0000 2011	MrKuRiZMa	I just scored 534 points in Fruit Ninja's Arcade Mode, with help from 2 Frenzy Bananas! http://www.fruitninja.com http://bit.ly/ey4f3g
Fri Mar 11 14:39:34 +0000 2011	daniaricci	I just sliced 143 fruits, including 14 succulent red apples on Fruit Ninja HD for iPad! http://www.fruitninja.com http://bit.ly/fLQi6L
